Company Name,Symbol
Info Edge (India) Limited,NAUKRI
Infosys Limited,INFY
Inox Wind Limited,INOXWIND
InterGlobe Aviation Limited,INDIGO
JINDAL STEEL LIMITED,JINDALSTEL
JSW Energy Limited,JSWENERGY
JSW Steel Limited,JSWSTEEL
Jio Financial Services Limited,JIOFIN
Jubilant Foodworks Limited,JUBLFOOD
KEI Industries Limited,KEI
KPIT Technologies Limited,KPITTECH
Kalyan Jewellers India Limited,KALYANKJIL
Kaynes Technology India Limited,KAYNES
Kfin Technologies Limited,KFINTECH
Kotak Mahindra Bank Limited,KOTAKBANK
L&T Finance Limited,LTF
LIC Housing Finance Limited,LICHSGFIN
LTIMindtree Limited,LTIM
Larsen & Toubro Limited,LT
Laurus Labs Limited,LAURUSLABS
Life Insurance Corporation Of India,LICI
Lodha Developers Limited,LODHA
Lupin Limited,LUPIN
Mahindra & Mahindra Limited,M&M
Manappuram Finance Limited,MANAPPURAM
Mankind Pharma Limited,MANKIND
Marico Limited,MARICO
Maruti Suzuki India Limited,MARUTI
Max Financial Services Limited,MFSL
Max Healthcare Institute Limited,MAXHEALTH
Mazagon Dock Shipbuilders Limited,MAZDOCK
MphasiS Limited,MPHASIS
Multi Commodity Exchange of India Limited,MCX
Muthoot Finance Limited,MUTHOOTFIN
NBCC (India) Limited,NBCC
NCC Limited,NCC
NHPC Limited,NHPC
NMDC Limited,NMDC
NTPC Limited,NTPC
National Aluminium Company Limited,NATIONALUM
Nestle India Limited,NESTLEIND
Nuvama Wealth Management Limited,NUVAMA
Oberoi Realty Limited,OBEROIRLTY
Oil & Natural Gas Corporation Limited,ONGC
Oil India Limited,OIL
One 97 Communications Limited,PAYTM
Oracle Financial Services Software Limited,OFSS
PB Fintech Limited,POLICYBZR
PG Electroplast Limited,PGEL
PI Industries Limited,PIIND
PNB Housing Finance Limited,PNBHOUSING
Page Industries Limited,PAGEIND
Patanjali Foods Limited,PATANJALI
Persistent Systems Limited,PERSISTENT
Petronet LNG Limited,PETRONET
Pidilite Industries Limited,PIDILITIND
Piramal Pharma Limited,PPLPHARMA
Polycab India Limited,POLYCAB
Power Finance Corporation Limited,PFC
Power Grid Corporation of India Limited,POWERGRID
Prestige Estates Projects Limited,PRESTIGE
Punjab National Bank,PNB
RBL Bank Limited,RBLBANK
REC Limited,RECLTD
Rail Vikas Nigam Limited,RVNL
Reliance Industries Limited,RELIANCE
SBI Cards and Payment Services Limited,SBICARD
SBI Life Insurance Company Limited,SBILIFE
SHREE CEMENT LIMITED,SHREECEM
SRF Limited,SRF
Sammaan Capital Limited,SAMMAANCAP
Samvardhana Motherson International Limited,MOTHERSON
Shriram Finance Limited,SHRIRAMFIN
Siemens Limited,SIEMENS
Solar Industries India Limited,SOLARINDS
Sona BLW Precision Forgings Limited,SONACOMS
State Bank of India,SBIN
Steel Authority of India Limited,SAIL
Sun Pharmaceutical Industries Limited,SUNPHARMA
Supreme Industries Limited,SUPREMEIND
Suzlon Energy Limited,SUZLON
Syngene International Limited,SYNGENE
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
TITAGARH RAIL SYSTEMS LIMITED,TITAGARH
TVS Motor Company Limited,TVSMOTOR
Tata Consultancy Services Limited,TCS
Tata Elxsi Limited,TATAELXSI
Tata Motors Passenger Vehicles Limited,TMPV
Tata Power Company Limited,TATAPOWER
Tata Steel Limited,TATASTEEL
Tata Technologies Limited,TATATECH
Tech Mahindra Limited,TECHM
The Federal Bank Limited,FEDERALBNK
The Indian Hotels Company Limited,INDHOTEL
The Phoenix Mills Limited,PHOENIXLTD
Titan Company Limited,TITAN
Torrent Pharmaceuticals Limited,TORNTPHARM
Torrent Power Limited,TORNTPOWER
Trent Limited,TRENT
Tube Investments of India Limited,TIINDIA
UNO Minda Limited,UNOMINDA
UPL Limited,UPL
UltraTech Cement Limited,ULTRACEMCO
Union Bank of India,UNIONBANK
United Spirits Limited,UNITDSPR
Varun Beverages Limited,VBL
Vedanta Limited,VEDL
Vodafone Idea Limited,IDEA
Voltas Limited,VOLTAS
Wipro Limited,WIPRO
Yes Bank Limited,YESBANK
Zydus Lifesciences Limited,ZYDUSLIFE
